[TEST Information]

 - Logging Start Time : 260127_135006
 - Project Name : 4WD Sine-10kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_135006.425	0	-2.8	-2.3	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.010	-0.007	-1.005	0.00	-0.03	-0.02	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.435	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.009	-0.007	-1.005	0.00	-0.04	0.01	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.445	0	-2.8	-2.3	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.009	-0.008	-1.005	0.00	-0.05	0.04	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.455	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.010	-0.008	-1.005	0.00	-0.05	0.10	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.465	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.010	-0.008	-1.005	0.01	-0.05	0.15	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.475	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.011	-0.008	-1.004	0.01	-0.05	0.16	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.485	0	-2.8	-2.3	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.012	-0.007	-1.004	0.02	-0.04	0.17	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.496	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.013	-0.007	-1.004	0.02	-0.03	0.17	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.506	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.014	-0.007	-1.004	0.02	-0.03	0.17	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.516	0	-2.8	-2.3	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.015	-0.007	-1.004	0.02	-0.02	0.16	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.527	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.016	-0.007	-1.004	0.02	-0.01	0.15	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.537	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.017	-0.007	-1.004	0.02	0.00	0.13	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.548	0	-2.8	-2.3	-1.7	-1.5	0.4	-0.2	0.0	0.0	-0.018	-0.008	-1.004	0.01	0.01	0.10	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.558	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.018	-0.008	-1.004	0.01	0.01	0.10	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.568	0	-2.7	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.017	-0.007	-1.004	-0.01	0.02	0.03	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.578	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.018	-0.008	-1.004	-0.01	0.03	-0.01	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.590	0	-2.8	-2.3	-1.7	-1.5	0.4	-0.2	0.0	0.0	-0.018	-0.007	-1.004	-0.02	0.04	-0.05	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.599	0	-2.8	-2.3	-1.7	-1.6	0.4	-0.2	0.0	0.0	-0.018	-0.007	-1.004	-0.02	0.04	-0.05	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.610	0	-2.8	-2.3	-1.7	-1.6	0.4	-0.2	0.0	0.0	-0.018	-0.007	-1.005	-0.02	0.04	-0.08	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.621	0	-2.8	-2.3	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.018	-0.007	-1.004	-0.02	0.04	-0.08	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.631	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.017	-0.007	-1.004	-0.02	0.05	-0.13	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.640	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.017	-0.008	-1.003	-0.02	0.05	-0.15	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.650	0	-2.8	-2.3	-1.7	-1.5	0.4	-0.2	0.0	0.0	-0.016	-0.008	-1.004	-0.01	0.04	-0.17	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.661	0	-2.8	-2.2	-1.7	-1.5	0.4	-0.2	0.0	0.0	-0.015	-0.008	-1.004	-0.01	0.04	-0.18	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.672	0	-2.8	-2.4	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.014	-0.008	-1.004	0.00	0.03	-0.19	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.681	0	-2.8	-2.3	-1.7	-1.6	0.4	-0.2	0.0	0.0	-0.011	-0.008	-1.005	0.02	0.02	-0.17	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.692	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.010	-0.008	-1.005	0.02	0.02	-0.15	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.703	0	-2.8	-2.3	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.010	-0.007	-1.005	0.02	0.02	-0.12	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.714	0	-2.8	-2.3	-1.7	-1.6	0.4	-0.2	0.0	0.0	-0.009	-0.008	-1.005	0.03	0.01	-0.10	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.725	0	-2.8	-2.3	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.008	-0.007	-1.005	0.04	-0.01	-0.06	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.735	0	-2.8	-2.3	-1.7	-1.5	0.4	-0.2	0.0	0.0	-0.009	-0.007	-1.004	0.04	-0.03	-0.02	52.2	-6	60	10	0	0	0	0	-250	250	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.745	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.008	-0.007	-1.004	0.05	-0.04	0.01	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.755	0	-2.8	-2.3	-1.7	-1.5	0.4	-0.2	0.0	0.0	-0.008	-0.007	-1.004	0.05	-0.05	0.06	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.765	0	-2.8	-2.3	-1.7	-1.6	0.4	-0.2	0.0	0.0	-0.008	-0.007	-1.005	0.05	-0.05	0.09	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.776	0	-2.8	-2.3	-1.8	-1.6	0.4	-0.2	0.0	0.0	-0.008	-0.007	-1.005	0.05	-0.05	0.09	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.787	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.009	-0.007	-1.004	0.04	-0.06	0.15	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.797	0	-2.7	-2.4	-1.7	-1.5	0.4	-0.2	0.0	0.0	-0.010	-0.007	-1.004	0.04	-0.06	0.15	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.808	0	-2.8	-2.3	-1.7	-1.6	0.4	-0.2	0.0	0.0	-0.011	-0.007	-1.005	0.03	-0.06	0.17	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.819	0	-2.8	-2.3	-1.7	-1.5	0.4	-0.2	0.0	0.0	-0.012	-0.006	-1.004	0.03	-0.06	0.19	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_135006.829	0	-2.8	-2.3	-1.8	-1.5	0.4	-0.2	0.0	0.0	-0.013	-0.006	-1.004	0.02	-0.06	0.20	52.2	-6	60	10	0	0	0	0	-250	240	70	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
