[TEST Information]

 - Logging Start Time : 260127_133829
 - Project Name : 2WD Sine-5kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_133829.361	0	-2.1	-1.4	-3.7	-3.3	0.1	-0.3	0.0	0.0	-0.006	0.018	-1.007	0.02	-0.02	-0.02	52.2	-6	60	10	0	0	0	0	-200	180	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.372	0	-2.0	-1.3	-3.6	-3.4	0.1	-0.3	0.0	0.0	-0.006	0.018	-1.006	0.02	-0.03	-0.01	52.2	-6	60	10	0	0	0	0	-200	180	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.382	0	-2.1	-1.4	-3.7	-3.3	0.1	-0.3	0.0	0.0	-0.006	0.019	-1.005	0.02	-0.05	-0.01	52.2	-6	60	10	0	0	0	0	-200	180	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.392	0	-2.0	-1.4	-3.7	-3.3	0.1	-0.3	0.0	0.0	-0.006	0.019	-1.004	0.02	-0.05	-0.01	52.2	-6	60	10	0	0	0	0	-200	180	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.402	0	-2.0	-1.3	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.005	0.018	-1.004	0.03	-0.06	0.00	52.2	-6	60	10	0	0	0	0	-200	180	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.412	0	-2.0	-1.4	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.005	0.017	-1.004	0.03	-0.07	0.00	52.2	-6	60	10	0	0	0	0	-200	180	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.423	0	-2.0	-1.4	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.005	0.017	-1.004	0.03	-0.07	0.00	52.2	-6	60	10	0	0	0	0	-200	180	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.433	0	-2.1	-1.3	-3.7	-3.4	0.2	-0.3	0.0	0.0	-0.005	0.016	-1.004	0.04	-0.06	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.443	0	-2.0	-1.3	-3.7	-3.4	0.2	-0.3	0.0	0.0	-0.004	0.015	-1.004	0.05	-0.05	0.00	52.2	-6	60	10	0	0	0	0	-200	180	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.453	0	-2.0	-1.4	-3.7	-3.3	0.2	-0.3	0.0	0.0	-0.003	0.015	-1.004	0.05	-0.04	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.463	0	-2.0	-1.4	-3.7	-3.3	0.2	-0.3	0.0	0.0	-0.003	0.014	-1.004	0.06	-0.03	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.473	0	-2.0	-1.4	-3.7	-3.4	0.2	-0.3	0.0	0.0	-0.004	0.013	-1.005	0.07	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.483	0	-2.0	-1.3	-3.7	-3.3	0.2	-0.3	0.0	0.0	-0.004	0.013	-1.005	0.08	0.00	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.494	0	-2.0	-1.3	-3.6	-3.4	0.2	-0.3	0.0	0.0	-0.004	0.014	-1.006	0.08	0.02	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.504	0	-2.0	-1.4	-3.7	-3.3	0.2	-0.3	0.0	0.0	-0.004	0.014	-1.006	0.08	0.04	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.514	0	-2.1	-1.4	-3.7	-3.4	0.2	-0.3	0.0	0.0	-0.005	0.014	-1.007	0.08	0.05	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.524	0	-2.0	-1.3	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.006	0.013	-1.008	0.07	0.04	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.535	0	-2.0	-1.4	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.005	0.013	-1.008	0.06	0.03	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.546	0	-2.0	-1.4	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.005	0.013	-1.008	0.04	0.02	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.556	0	-2.0	-1.4	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.005	0.013	-1.008	0.03	0.00	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.567	0	-2.0	-1.4	-3.7	-3.3	0.1	-0.3	0.0	0.0	-0.005	0.014	-1.008	0.01	-0.01	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.579	0	-2.0	-1.3	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.005	0.015	-1.007	0.00	-0.03	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.588	0	-2.0	-1.4	-3.7	-3.3	0.1	-0.3	0.0	0.0	-0.004	0.014	-1.006	-0.01	-0.05	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.598	0	-2.0	-1.3	-3.7	-3.3	0.1	-0.3	0.0	0.0	-0.003	0.014	-1.006	-0.01	-0.06	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.610	0	-2.1	-1.3	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.003	0.014	-1.006	-0.02	-0.07	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.619	0	-2.1	-1.4	-3.7	-3.3	0.1	-0.3	0.0	0.0	-0.002	0.014	-1.005	-0.02	-0.07	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.630	0	-2.0	-1.4	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.002	0.014	-1.004	-0.02	-0.07	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.640	0	-2.0	-1.4	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.002	0.015	-1.004	-0.02	-0.06	-0.01	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.651	0	-2.0	-1.3	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.003	0.016	-1.004	-0.01	-0.04	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_133829.662	0	-2.0	-1.3	-3.7	-3.4	0.1	-0.3	0.0	0.0	-0.003	0.016	-1.004	0.00	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-200	170	140	-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
