[TEST Information]

 - Logging Start Time : 260127_134535
 - Project Name : 4WD Sine-3kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_134535.396	0	-1.4	-1.3	-2.9	-2.6	0.3	-0.2	0.0	0.0	-0.010	0.014	-1.004	0.00	0.00	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.407	0	-1.4	-1.3	-2.9	-2.6	0.3	-0.2	0.0	0.0	-0.009	0.014	-1.004	0.00	0.01	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.418	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.2	0.0	0.0	-0.009	0.015	-1.004	0.01	0.01	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.428	0	-1.4	-1.3	-2.9	-2.5	0.3	-0.2	0.0	0.0	-0.010	0.015	-1.004	0.01	0.01	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.439	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.2	0.0	0.0	-0.010	0.014	-1.004	0.01	0.02	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.449	0	-1.4	-1.3	-3.0	-2.5	0.3	-0.2	0.0	0.0	-0.010	0.014	-1.005	0.01	0.02	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.459	0	-1.4	-1.3	-3.0	-2.5	0.3	-0.2	0.0	0.0	-0.010	0.015	-1.005	0.01	0.02	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.469	0	-1.4	-1.3	-2.9	-2.5	0.3	-0.2	0.0	0.0	-0.009	0.015	-1.004	0.01	0.02	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.479	0	-1.4	-1.3	-3.0	-2.5	0.3	-0.2	0.0	0.0	-0.010	0.015	-1.005	0.01	0.01	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.489	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.2	0.0	0.0	-0.010	0.015	-1.004	0.01	0.01	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.499	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.2	0.0	0.0	-0.010	0.015	-1.004	0.01	0.01	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.509	0	-1.3	-1.3	-2.9	-2.5	0.3	-0.2	0.0	0.0	-0.010	0.014	-1.005	0.00	0.00	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.519	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.2	0.0	0.0	-0.010	0.014	-1.005	0.00	0.00	0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.529	0	-1.4	-1.3	-2.9	-2.6	0.3	-0.2	0.0	0.0	-0.010	0.014	-1.006	0.00	0.00	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.539	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.2	0.0	0.0	-0.009	0.014	-1.005	-0.01	0.00	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.549	0	-1.4	-1.3	-2.9	-2.6	0.3	-0.2	0.0	0.0	-0.009	0.015	-1.004	-0.01	0.00	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.559	0	-1.4	-1.3	-2.9	-2.6	0.3	-0.2	0.0	0.0	-0.009	0.015	-1.004	-0.01	-0.01	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.569	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.2	0.0	0.0	-0.010	0.015	-1.004	0.00	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.580	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.1	0.0	0.0	-0.009	0.014	-1.005	0.00	-0.01	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.590	0	-1.4	-1.3	-2.9	-2.5	0.3	-0.1	0.0	0.0	-0.010	0.014	-1.004	-0.01	-0.01	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.601	0	-1.4	-1.3	-2.9	-2.6	0.3	-0.1	0.0	0.0	-0.010	0.014	-1.004	-0.01	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.611	0	-1.4	-1.3	-2.9	-2.6	0.3	-0.1	0.0	0.0	-0.009	0.013	-1.003	-0.01	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.621	0	-1.4	-1.3	-2.9	-2.5	0.3	-0.1	0.0	0.0	-0.010	0.014	-1.003	-0.01	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.632	0	-1.4	-1.3	-3.0	-2.6	0.3	-0.1	0.0	0.0	-0.010	0.015	-1.004	-0.01	-0.01	0.00	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.641	0	-1.3	-1.3	-3.0	-2.6	0.3	-0.1	0.0	0.0	-0.010	0.015	-1.004	0.00	-0.01	-0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134535.652	0	-1.4	-1.3	-3.0	-2.5	0.3	-0.1	0.0	0.0	-0.010	0.015	-1.005	0.01	-0.01	-0.01	52.2	-6	60	10	0	0	0	0	-160	150	80	-120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
