[TEST Information]

 - Logging Start Time : 260127_134034
 - Project Name : 2WD Sine-7kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_134034.746	0	-1.6	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.007	-0.01	0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.757	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.014	-1.007	-0.02	0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.767	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.014	-1.006	-0.02	0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.777	0	-1.7	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.014	-1.006	-0.01	0.00	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.788	0	-1.6	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.015	-1.007	-0.01	0.00	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.797	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.014	-1.006	-0.01	-0.01	-0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.807	0	-1.7	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.013	-1.006	-0.01	-0.01	-0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.819	0	-1.7	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.013	-1.006	-0.01	-0.01	-0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.828	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.014	-1.006	-0.01	-0.02	-0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.839	0	-1.7	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.014	-1.005	0.00	-0.01	-0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.851	0	-1.6	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.013	-1.005	0.01	-0.01	-0.02	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.861	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.014	-1.004	0.01	-0.01	-0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.871	0	-1.7	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.016	0.014	-1.004	0.01	-0.01	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.881	0	-1.7	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.005	0.01	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.892	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.005	0.01	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.903	0	-1.6	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.005	0.00	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.912	0	-1.7	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.018	0.014	-1.005	0.01	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.922	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.018	0.014	-1.005	0.01	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.932	0	-1.6	-0.5	-3.5	-3.8	0.2	-0.2	0.0	0.0	-0.018	0.014	-1.005	0.01	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.943	0	-1.6	-0.5	-3.5	-3.8	0.2	-0.2	0.0	0.0	-0.018	0.013	-1.006	0.01	-0.01	0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.953	0	-1.6	-0.5	-3.5	-3.8	0.2	-0.2	0.0	0.0	-0.018	0.013	-1.006	0.01	-0.01	0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.963	0	-1.7	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.013	-1.007	0.01	-0.01	0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.973	0	-1.6	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.018	0.013	-1.007	0.01	-0.02	0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.983	0	-1.7	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.013	-1.007	0.00	-0.02	0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134034.993	0	-1.7	-0.5	-3.5	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.007	0.00	-0.02	0.01	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134035.003	0	-1.7	-0.4	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.007	0.00	-0.02	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134035.014	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.007	0.00	-0.01	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134035.023	0	-1.6	-0.5	-3.5	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.006	0.01	0.00	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134035.033	0	-1.6	-0.5	-3.6	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.006	0.01	0.00	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134035.043	0	-1.6	-0.5	-3.6	-3.7	0.2	-0.2	0.0	0.0	-0.017	0.014	-1.006	0.02	0.00	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_134035.053	0	-1.7	-0.5	-3.5	-3.8	0.2	-0.2	0.0	0.0	-0.017	0.015	-1.006	0.01	0.01	0.00	52.2	-6	60	10	0	0	0	0	-130	130	120	-60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
