[TEST Information]

 - Logging Start Time : 260127_144910
 - Project Name : sus-bump-crossL300R300-7kmh
 - Test Pulpose : 
 - Test Location : 
 - Test Mode : 

[Signal Description]

 - 속도 (km/h)
 - 지상고 (FR, FL, RR, RL) [mm]
 - 조향각 (FR, FL, RR, RL) [deg]
 - 가속도 (X / Y / Z) [g]
 - 각속도 (X / Y / Z) [deg/s]
 - 배터리 상태 (전압[V], 전류[A], SoC[%], 온도[°C])
 - 서보모터 상태
  · 전류 (현가 / 조향, FR/FL/RR/RL) [A]
  · 위치 (현가 / 조향, FR/FL/RR/RL) [deg]
 - 플랫폼 온도 [°C]

[Wheel & Motor Position Definition]

 - FR : Front Right
 - FL : Front Left
 - RR : Rear Right
 - RL : Rear Left

Logging Start
																																					
시간[Time]	속도[Km/h]	Hgt_Enc_FL[deg]	Hgt_Enc_FR[deg]	Hgt_Enc_RL[deg]	Hgt_Enc_RR[deg]	Steer_Enc_FL[deg]	Steer_Enc_FR[deg]	Steer_Enc_RL[deg]	Steer_Enc_RR[deg]	IMU_Acc_X[g]	IMU_Acc_Y[g]	IMU_Acc_Z[g]	IMU_AngVel_X[deg/s]	IMU_AngVel_Y[deg/s]	IMU_AngVel_Z[deg/s]	Vat_Volt[V]	Vat_Curr[A]	Vat_SoC[%]	Vat_Temp[C]	Hgt_Curr_FL[Ａ]	Hgt_Curr_FR[Ａ]	Hgt_Curr_RL[Ａ]	Hgt_Curr_RR[Ａ]	Steer_Curr_FL[A]	Steer_Curr_FR[A]	Steer_Curr_RL[A]	Steer_Curr_RR[A]	Hgt_Pos_FL[deg]	Hgt_Pos_FR[deg]	Hgt_Pos_RL[deg]	Hgt_Pos_RR[deg]	Steer_Pos_FL[deg]	Steer_Pos_FR[deg]	Steer_Pos_RL[deg]	Steer_Pos_RR[deg]	Platform_Temp[C]	Distance[m]
260127_144910.179	0	-1.9	-1.0	-3.6	-3.2	0.2	-0.2	0.0	0.0	-0.038	0.006	-1.004	0.00	0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.189	0	-1.8	-1.0	-3.6	-3.2	0.2	-0.2	0.0	0.0	-0.038	0.007	-1.005	0.00	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.199	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	-0.01	0.00	-0.01	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.209	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.008	-1.005	-0.01	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.219	0	-1.8	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.008	-1.005	-0.01	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.229	0	-1.8	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.008	-1.004	-0.01	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.240	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.008	-1.004	0.00	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.250	0	-1.9	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.260	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.008	-1.005	0.00	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.272	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.281	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.291	0	-1.8	-1.0	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	0.00	-0.01	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.301	0	-1.8	-1.0	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	0.00	-0.01	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.312	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.038	0.007	-1.005	0.00	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.323	0	-1.9	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.333	0	-1.9	-1.0	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.343	0	-1.9	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.353	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.038	0.007	-1.005	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.363	0	-1.8	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.373	0	-1.9	-1.0	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	0.00	-0.02	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.383	0	-1.8	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.004	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.394	0	-1.9	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.038	0.007	-1.005	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.404	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.414	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.038	0.006	-1.004	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.425	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.038	0.006	-1.004	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.435	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.004	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.445	0	-1.9	-0.9	-3.6	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	-0.02	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.455	0	-1.8	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.00	-0.02	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.466	0	-1.9	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.004	0.00	-0.01	-0.01	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.475	0	-1.8	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.008	-1.004	0.01	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.486	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.008	-1.004	0.01	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.495	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.007	-1.005	0.01	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.505	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.004	0.01	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.516	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.036	0.007	-1.005	0.02	0.00	0.01	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.526	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.008	-1.005	0.02	0.00	0.01	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.537	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.038	0.007	-1.004	0.02	0.00	0.01	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.547	0	-1.9	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.004	0.02	0.01	0.01	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.557	0	-1.9	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.007	-1.004	0.03	0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.567	0	-1.9	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.036	0.006	-1.005	0.03	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.578	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.004	0.03	0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.588	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.038	0.006	-1.005	0.02	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.598	0	-1.9	-0.9	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.004	0.02	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.608	0	-1.9	-1.0	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	0.01	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.618	0	-1.9	-1.0	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.01	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.629	0	-1.8	-1.0	-3.8	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.007	-1.005	0.01	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.638	0	-1.9	-1.0	-3.6	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	0.01	0.00	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.648	0	-1.9	-0.9	-3.7	-3.1	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.005	0.01	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.658	0	-1.8	-0.9	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.004	0.01	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
260127_144910.669	0	-1.9	-1.0	-3.7	-3.2	0.2	-0.2	0.0	0.0	-0.037	0.006	-1.004	0.00	-0.01	0.00	52.3	-6	60	11	0	0	0	0	-120	140	150	-160	0.0	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
