time_s,x_m,y_m,speed_mps,speed_kph,yaw_deg,yaw_rate_deg_s,roll_deg,pitch_deg,fl_steer_deg,fr_steer_deg,fl_fx_n,fr_fx_n,fl_fy_n,fr_fy_n
0.0,4.3105295337840063e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.2266006049914902e-05,0.0,0.0,0.0,0.0,-0.0,-0.0
0.01,0.0004912158134313629,-0.0009809951799085164,0.10971073413187642,0.39495864287475513,0.0005622245809624853,0.05622245809624725,1.2036227048664283e-10,3.55480033495334e-05,0.0,0.0,2535.8878334159444,2535.8878334159444,-6142.015493999996,-6142.015493999996
0.02,-0.00016462346105808898,-0.0011833293009631141,0.06863412221616778,0.24708283997820402,-0.0018603609719210926,-0.24225855528576126,-0.08857493974458086,-0.01210259956620523,12.564864161507716,12.564864161507716,-6142.038214460365,-6142.038214460365,6142.038214460365,6142.038214460365
0.03,0.00030716097205727837,-0.0020806467604567837,0.10137525777976386,0.3649509280071499,0.00041119369048966855,0.22972304933899632,-0.09970958995538022,0.004507919916427872,-97.9999617863253,-60.00002571454079,6142.086494917069,6142.086494959889,6142.086494917069,6142.086494959889
0.04,-0.00030439450665741555,-0.0036874411348885765,0.1719168070952602,0.6189005055429367,0.012639746394032075,1.2206303615131309,-0.17490780497616346,-0.008266341674500242,60.00002571454079,97.9999617863253,-6235.644217966368,-5883.80153095992,6235.644217966368,5883.80153095992
0.05,0.0001409520838574097,-0.006022978592648195,0.23774468474059857,0.8558808650661549,0.031585618358646705,1.8991559137871734,-0.3084125957747865,0.006728732964496003,-97.9999617863253,-60.00002571454079,6299.832309223737,5871.214330184363,6299.832309223737,5871.214330184363
0.06,-0.00013550682165464366,-0.009008038235055714,0.2997228351490871,1.0790022065367135,0.06895986281057849,3.730165714333809,-0.49589304871414164,-0.006655703055396912,60.00002571454079,97.9999617863253,-6352.671682772778,-5768.491197293437,6352.671682772778,5768.491197293437
0.07,-3.786559517474714e-05,-0.012636625171217265,0.36286925766239586,1.306329327584625,0.1304996082159092,6.158626411761254,-0.7285366327497945,-0.0010144742548413082,-97.9999617863253,-60.00002571454079,6503.298303244561,5639.474106487146,1092.5097775486784,5639.474106487146
0.08,-0.0007264397582552265,-0.01687472071860012,0.429119677793172,1.5448308400554192,0.211149565646763,8.057736658896255,-1.0006823707265815,-0.006210781808487464,60.00002571454079,97.9999617863253,-6673.702312186932,-5327.200122136747,6673.702312186932,5327.200122136747
0.09,-0.0005670498228510521,-0.021634884767311985,0.47584510785239187,1.7130423882686108,0.2722209717043909,6.129557060698835,-1.3054821910312862,0.007158141470451917,-97.9999617863253,-60.00002571454079,6890.551444611722,5036.988879666342,6890.551444611722,5036.988879666342
0.1,-0.0008282444707720709,-0.026647740636251575,0.5012149586029132,1.8043738509704876,0.35313501576716627,8.066935720752072,-1.6298994783947103,-0.002659870816688577,60.00002571454079,97.9999617863253,-7088.518780620525,-4748.584449824645,7088.518780620525,-4748.584449824645
0.11,-0.0007196964492635798,-0.032167349358932736,0.5509646571591643,1.9834727657729916,0.42752754792682734,7.4371145269736125,-1.9462253713586137,-0.0023535840181676416,-97.9999617863253,-60.00002571454079,7289.071819524971,4575.328251721088,4970.656714891076,4575.328251721088
0.12,-0.0015154294430929876,-0.03800692318510246,0.5877889257855932,2.1160401328281355,0.5065945470000813,7.866655886190763,-2.274494630420742,-0.012801579168101068,60.00002571454079,97.9999617863253,-7415.2051302269865,-4389.241040033958,7415.2051302269865,4389.241040033958
0.13,-0.0016525172608968736,-0.044398768493905595,0.6372116180248988,2.2939618248896356,0.5694759962477712,6.3247185023313115,-2.5933600372109598,-0.00233775306657478,-97.9999617863253,-60.00002571454079,7485.971686097852,4320.944715813591,7485.971686097852,4320.944715813591
0.14,-0.002300639871082098,-0.05104090914588085,0.6645898747228131,2.392523549002127,0.6552259422136968,8.53271923330877,-2.922758955612477,-0.009739980459716701,60.00002571454079,97.9999617863253,-7528.906557361955,-4235.976427546614,7528.906557361955,-4235.976427546614
0.15,-0.00235836130998442,-0.05824047957247998,0.716548237036919,2.579573653332908,0.7273466126662637,7.224409216609118,-3.2324101375673626,-0.005479534622011637,-97.9999617863253,-60.00002571454079,7610.243093467163,4249.059426785895,7610.243093467163,4249.059426785895
0.16,-0.0029593833546561936,-0.06569507370078248,0.7437097277871009,2.677355020033563,0.8236733491951621,9.557728790597244,-3.549993622482368,-0.016052941691958745,60.00002571454079,97.9999617863253,-7710.158073489465,-4167.150484235836,7710.158073489465,-4167.150484235836
0.17,-0.0030087693768865004,-0.07371024768756744,0.7966456251478115,2.867924250532121,0.9071450382387003,8.343334025936414,-3.8445934865812643,-0.014085480384064148,-97.9999617863253,-60.00002571454079,7825.292518508113,4136.52477501572,7472.291272740122,4136.52477501572
0.18,-0.0036915955402412777,-0.0815894628536949,0.785119570670206,2.8264304544127414,1.0320773966372712,12.397043429217137,-4.144531920228049,-0.02423858819138759,60.00002571454079,97.9999617863253,-7928.577947323452,4023.654220888582,7928.577947323452,-4023.654220888582
0.19,-0.0038820610695455967,-0.08971759696703918,0.8065346580062779,2.9035247688226002,1.149213506687178,11.7205356322125,-4.383432398522847,-0.019041906991593974,-97.9999617863253,-60.00002571454079,8018.219052218875,-3993.05239776968,8018.219052218875,3993.05239776968
0.2,-0.005066651268216648,-0.09802669183967906,0.8323110978380547,2.996319952216997,1.282319278489209,13.222701171852002,-4.60034199077339,-0.025445148377091373,60.00002571454079,97.9999617863253,-8087.325742038772,-1378.3566074276919,8087.325742038772,3911.299319283404
0.21,-0.005573391792255239,-0.10659178431117232,0.8504745201990728,3.061708272716662,1.402043927627767,12.077023388723283,-4.7857069909110415,-0.007599581058718359,-97.9999617863253,-60.00002571454079,8107.510866837849,-4017.0813825254445,8107.510866837849,4017.0813825254445
0.22,-0.006715912934673514,-0.11499390194623636,0.8398916996409912,3.0236101187075684,1.5638126431383088,16.148614368080477,-4.94917867134639,-0.004226622124516761,60.00002571454079,97.9999617863253,-8079.998878522432,4118.197644158515,8079.998878522432,-4118.197644158515
0.23,-0.007177552307698655,-0.123606741648105,0.8542361730690932,3.0752502230487355,1.7130920495366135,15.037478084901378,-5.052020575348492,0.014921474522733288,-97.9999617863253,-60.00002571454079,8080.217672402756,-4298.56618862495,8080.217672402756,4298.56618862495
0.24,-0.008431935955952827,-0.13163527621513685,0.8041058984219488,2.894781234319016,1.8453069550925074,13.175457996611458,-5.134227711589147,0.015526891595838824,60.00002571454079,97.9999617863253,-8078.070283493253,4384.196633222983,8078.070283493253,4384.196633222983
0.25,-0.008948769347552593,-0.13930325548137848,0.7599768397792672,2.735916623205362,1.9233715561162572,7.917573965678638,-5.1217863174911695,0.03144335911348693,-97.9999617863253,-60.00002571454079,8063.746082661911,-4561.088749186151,8063.746082661911,4561.088749186151
0.26,-0.010051552233362255,-0.14674240086916127,0.7439616424936546,2.6782619129771565,2.0439875675300874,12.022225643930032,-5.045331725940638,0.0324275275273339,60.00002571454079,97.9999617863253,-8025.032822109252,4658.293283404883,8025.032822109252,-4658.293283404883
0.27,-0.01046376256359878,-0.1542711416492215,0.7464679783008304,2.68728472188299,2.1511524293123463,10.80625174889391,-4.915978479812773,0.04735625711347064,-97.9999617863253,-60.00002571454079,7927.874733940023,-4907.6829805876405,7927.874733940023,4907.6829805876405
0.28,-0.0112230906730958,-0.1619428463614101,0.7640123144116218,2.7504443318818383,2.2412438477696033,8.940443444382222,-4.770660073301368,0.043207271943167785,60.00002571454079,97.9999617863253,-7705.087265344455,5161.068171853444,-7705.087265344455,5161.068171853444
0.29,-0.011321034431254831,-0.16960043183569107,0.7595552332221264,2.734398839599655,2.319201017372282,7.807815859764752,-4.61119468935133,0.047909678134352165,-97.9999617863253,-60.00002571454079,7463.064058722954,-5393.942351949585,7463.064058722954,5393.942351949585
0.3,-0.012377491275333935,-0.1770255776851718,0.744302816106389,2.6794901379830005,2.41650478626399,9.614786933640437,-4.431407591820007,0.037449753374405516,60.00002571454079,97.9999617863253,-7229.163000139355,5494.592234168758,7229.163000139355,5494.592234168758
0.31,-0.012795434205314878,-0.18440620527080037,0.73409005685149,2.642724204665364,2.5020875141090864,8.630938760079747,-4.208887414948328,0.0501659412813277,-97.9999617863253,-60.00002571454079,7108.102506085711,-5510.936483886301,7108.102506085711,5510.936483886301
0.32,-0.012942544882976621,-0.19160493346870935,0.715250406788873,2.5749014644399426,2.576676812025031,7.397077669430462,-3.9726033522415873,0.04447965242723353,60.00002571454079,97.9999617863253,-6982.912257708532,5478.992569171804,-6982.912257708532,-5478.992569171804
0.33,-0.012250719356895912,-0.19860058109152717,0.698730533065504,2.5154299190358147,2.6368638054078914,5.914047318823902,-3.7089631537087304,0.03146150590313278,-97.9999617863253,-60.00002571454079,6885.7041580729865,-5556.640734605075,6885.7041580729865,5556.640734605075
